INDICATOR_CODE,DIAGNOSIS_GROUP,PREDICTOR,PARAMETER_ESTIMATE,STANDARD_ERROR,WALD_CHI_SQUARE,WALD_DF,WALD_P_VALUE
I00699,1,ADMIMETH_1,-1.1805,0.3745,9.9377,1,0.0016
I00699,1,ADMIMETH_2,0,,,0,
I00699,1,ADMIMETH_3,0,,,0,
I00699,1,ADMISSION_MONTH_1,-0.5357,0.5152,1.0813,1,0.2984
I00699,1,ADMISSION_MONTH_2,0.4074,0.4166,0.9562,1,0.3281
I00699,1,ADMISSION_MONTH_3,0.4194,0.404,1.0775,1,0.2993
I00699,1,ADMISSION_MONTH_4,0.126,0.4446,0.0803,1,0.777
I00699,1,ADMISSION_MONTH_5,0.6407,0.3811,2.8257,1,0.0928
I00699,1,ADMISSION_MONTH_6,0,,,0,
I00699,1,ADMISSION_MONTH_7,0.7517,0.3751,4.0166,1,0.0451
I00699,1,ADMISSION_MONTH_8,0.6814,0.3871,3.0983,1,0.0784
I00699,1,ADMISSION_MONTH_9,0.6289,0.3829,2.6972,1,0.1005
I00699,1,ADMISSION_MONTH_10,0.3718,0.4031,0.8504,1,0.3564
I00699,1,ADMISSION_MONTH_11,0.7508,0.3934,3.6429,1,0.0563
I00699,1,ADMISSION_MONTH_12,0.4542,0.4117,1.2172,1,0.2699
I00699,1,AGE_GROUP_1,-13.0612,1135.1435,0.0001,1,0.9908
I00699,1,AGE_GROUP_2,-13.1119,903.3232,0.0002,1,0.9884
I00699,1,AGE_GROUP_3,-13.0702,985.2511,0.0002,1,0.9894
I00699,1,AGE_GROUP_4,-13.1515,756.4323,0.0003,1,0.9861
I00699,1,AGE_GROUP_5,-1.0034,1.0595,0.8969,1,0.3436
I00699,1,AGE_GROUP_6,-0.0462,0.6078,0.0058,1,0.9394
I00699,1,AGE_GROUP_7,0,,,0,
I00699,1,AGE_GROUP_8,-0.5263,0.6724,0.6126,1,0.4338
I00699,1,AGE_GROUP_9,0.6261,0.4669,1.7979,1,0.18
I00699,1,AGE_GROUP_10,0.2174,0.5351,0.1651,1,0.6845
I00699,1,AGE_GROUP_11,1.0713,0.4262,6.3179,1,0.012
I00699,1,AGE_GROUP_12,1.1443,0.4406,6.7455,1,0.0094
I00699,1,AGE_GROUP_13,1.503,0.4137,13.201,1,0.0003
I00699,1,AGE_GROUP_14,1.4744,0.4399,11.2328,1,0.0008
I00699,1,AGE_GROUP_15,1.5271,0.4344,12.3588,1,0.0004
I00699,1,AGE_GROUP_16,1.6533,0.4426,13.9509,1,0.0002
I00699,1,AGE_GROUP_17,2.1549,0.4292,25.2109,1,0
I00699,1,AGE_GROUP_18,2.4281,0.4551,28.4606,1,0
I00699,1,AGE_GROUP_19,2.5681,0.4876,27.7339,1,0
I00699,1,AGE_GROUP_20,2.6418,0.9046,8.5294,1,0.0035
I00699,1,AGE_GROUP_21,0,,,0,
I00699,1,BIRTHWEIGHT_6,0,,,0,
I00699,1,CHARLSON_INDEX_1,0,,,0,
I00699,1,CHARLSON_INDEX_2,0.9531,0.2236,18.1636,1,0
I00699,1,CHARLSON_INDEX_3,1.4098,0.2209,40.7351,1,0
I00699,1,GENDER_1,0,,,0,
I00699,1,GENDER_2,-0.3308,0.1755,3.5527,1,0.0594
I00699,1,GENDER_3,0,,,0,
I00699,1,Intercept,-5.2166,0.4749,120.6866,1,0
I00699,1,YEAR_INDEX_1,0,,,0,
I00699,1,YEAR_INDEX_2,0.1016,0.2013,0.2549,1,0.6137
I00699,1,YEAR_INDEX_3,0.3597,0.1968,3.3394,1,0.0676
I00699,2,ADMIMETH_1,-0.4128,0.0413,100.0974,1,0
I00699,2,ADMIMETH_2,0,,,0,
I00699,2,ADMIMETH_3,0,,,0,
I00699,2,ADMISSION_MONTH_1,0.3037,0.0226,180.1054,1,0
I00699,2,ADMISSION_MONTH_2,0.1586,0.0232,46.8213,1,0
I00699,2,ADMISSION_MONTH_3,0.1665,0.0228,53.5437,1,0
I00699,2,ADMISSION_MONTH_4,0.1276,0.0232,30.2252,1,0
I00699,2,ADMISSION_MONTH_5,-0.0075,0.0227,0.1095,1,0.7407
I00699,2,ADMISSION_MONTH_6,-0.017,0.0226,0.5661,1,0.4518
I00699,2,ADMISSION_MONTH_7,0.014,0.0222,0.3987,1,0.5277
I00699,2,ADMISSION_MONTH_8,0,,,0,
I00699,2,ADMISSION_MONTH_9,0.0538,0.0222,5.8903,1,0.0152
I00699,2,ADMISSION_MONTH_10,0.1132,0.0222,26.1016,1,0
I00699,2,ADMISSION_MONTH_11,0.2162,0.0223,93.9055,1,0
I00699,2,ADMISSION_MONTH_12,0.3327,0.0219,229.8126,1,0
I00699,2,AGE_GROUP_1,-4.1332,0.2052,405.719,1,0
I00699,2,AGE_GROUP_2,-3.3578,0.1704,388.5226,1,0
I00699,2,AGE_GROUP_3,-2.8671,0.1815,249.5045,1,0
I00699,2,AGE_GROUP_4,-2.6615,0.2109,159.1815,1,0
I00699,2,AGE_GROUP_5,-2.2436,0.157,204.0921,1,0
I00699,2,AGE_GROUP_6,-1.978,0.1251,250.048,1,0
I00699,2,AGE_GROUP_7,-1.859,0.1034,322.993,1,0
I00699,2,AGE_GROUP_8,-1.6142,0.0794,413.411,1,0
I00699,2,AGE_GROUP_9,-1.3375,0.0628,453.4523,1,0
I00699,2,AGE_GROUP_10,-1.146,0.0512,500.7353,1,0
I00699,2,AGE_GROUP_11,-0.8669,0.0406,456.1223,1,0
I00699,2,AGE_GROUP_12,-0.6981,0.0315,491.8145,1,0
I00699,2,AGE_GROUP_13,-0.5828,0.0261,497.4262,1,0
I00699,2,AGE_GROUP_14,-0.4286,0.0228,354.5051,1,0
I00699,2,AGE_GROUP_15,-0.2902,0.0203,204.9179,1,0
I00699,2,AGE_GROUP_16,-0.1499,0.0177,71.5268,1,0
I00699,2,AGE_GROUP_17,0,,,0,
I00699,2,AGE_GROUP_18,0.2782,0.0162,293.4713,1,0
I00699,2,AGE_GROUP_19,0.5288,0.0164,1043.5457,1,0
I00699,2,AGE_GROUP_20,0.8712,0.0173,2540.7345,1,0
I00699,2,AGE_GROUP_21,0,,,0,
I00699,2,BIRTHWEIGHT_6,0,,,0,
I00699,2,CHARLSON_INDEX_1,0,,,0,
I00699,2,CHARLSON_INDEX_2,0.122,0.0217,31.4936,1,0
I00699,2,CHARLSON_INDEX_3,0.7448,0.0155,2310.3067,1,0
I00699,2,GENDER_1,0,,,0,
I00699,2,GENDER_2,0.1038,0.0094,121.2043,1,0
I00699,2,GENDER_3,0,,,0,
I00699,2,Intercept,-1.8456,0.0247,5603.3615,1,0
I00699,2,YEAR_INDEX_1,0,,,0,
I00699,2,YEAR_INDEX_2,-0.1072,0.0111,92.8449,1,0
I00699,2,YEAR_INDEX_3,-0.1287,0.0118,119.4851,1,0
I00699,3,ADMIMETH_1,-0.0666,0.2172,0.094,1,0.7591
I00699,3,ADMIMETH_2,0,,,0,
I00699,3,ADMIMETH_3,0,,,0,
I00699,3,ADMISSION_MONTH_1,-0.1403,0.1603,0.7658,1,0.3815
I00699,3,ADMISSION_MONTH_2,-0.1612,0.1599,1.017,1,0.3132
I00699,3,ADMISSION_MONTH_3,-0.1686,0.1562,1.1655,1,0.2803
I00699,3,ADMISSION_MONTH_4,0.0586,0.1534,0.1457,1,0.7027
I00699,3,ADMISSION_MONTH_5,-0.0472,0.1487,0.1007,1,0.7509
I00699,3,ADMISSION_MONTH_6,-0.0463,0.1498,0.0956,1,0.7572
I00699,3,ADMISSION_MONTH_7,-0.1519,0.148,1.0537,1,0.3047
